"","DAY","MONTH","x","dt","site","max","min","mean"
"1","20","01",21.939,2014-01-20,"PPW1301",21.939,10.1,15.609875
"2","21","01",20.746,2014-01-21,"PPW1301",20.746,10.124,15.1631458333333
"3","22","01",22.393,2014-01-22,"PPW1301",22.393,11.224,15.4160625
"4","23","01",20.126,2014-01-23,"PPW1301",20.126,11.248,15.3369791666667
"5","24","01",21.724,2014-01-24,"PPW1301",21.724,9.731,15.7214791666667
"6","25","01",21.891,2014-01-25,"PPW1301",21.891,9.46,15.387875
"7","26","01",19.984,2014-01-26,"PPW1301",19.984,9.04,13.9456666666667
"8","27","01",17.486,2014-01-27,"PPW1301",17.486,6.408,11.881625
"9","28","01",18.01,2014-01-28,"PPW1301",18.01,10.663,13.665125
"10","29","01",12.944,2014-01-29,"PPW1301",12.944,9.312,11.4260625
"11","30","01",15.414,2014-01-30,"PPW1301",15.414,7.569,10.137
"12","31","01",13.81,2014-01-31,"PPW1301",13.81,3.854,7.87447916666667
"13","01","02",13.305,2014-02-01,"PPW1301",13.305,2.823,6.54097916666667
"14","02","02",4.999,2014-02-02,"PPW1301",4.999,2.823,3.66570833333333
"15","03","02",10.124,2014-02-03,"PPW1301",10.124,1.398,5.11820833333333
"16","04","02",10.492,2014-02-04,"PPW1301",10.492,1.071,5.4290625
"17","05","02",9.312,2014-02-05,"PPW1301",9.312,1.044,5.05920833333333
"18","06","02",8.02,2014-02-06,"PPW1301",8.02,4.35,6.21466666666667
"19","07","02",10.394,2014-02-07,"PPW1301",10.394,7.192,8.59991666666667
"20","08","02",12.292,2014-02-08,"PPW1301",12.292,9.534,11.0721041666667
"21","09","02",12.34,2014-02-09,"PPW1301",12.34,11.127,11.8302083333333
"22","10","02",14.194,2014-02-10,"PPW1301",14.194,9.485,11.371125
"23","11","02",15.366,2014-02-11,"PPW1301",15.366,5.745,10.1899791666667
"24","12","02",13.834,2014-02-12,"PPW1301",13.834,6.535,10.2119583333333
"25","13","02",17.677,2014-02-13,"PPW1301",17.677,9.558,13.1317291666667
"26","14","02",16.225,2014-02-14,"PPW1301",16.225,10.932,12.6683333333333
"27","15","02",11.394,2014-02-15,"PPW1301",11.394,10.369,10.8750208333333
"28","16","02",14.218,2014-02-16,"PPW1301",14.218,5.719,9.40779166666667
"29","17","02",15.008,2014-02-17,"PPW1301",15.008,3.564,8.89991666666667
"30","18","02",15.819,2014-02-18,"PPW1301",15.819,7.116,10.5883958333333
"31","19","02",15.796,2014-02-19,"PPW1301",15.796,6.585,10.6171458333333
"32","20","02",18.652,2014-02-20,"PPW1301",18.652,5.024,11.2160625
"33","21","02",19.698,2014-02-21,"PPW1301",19.698,9.41,13.7893125
"34","22","02",19.698,2014-02-22,"PPW1301",19.698,8.295,13.0298541666667
"35","23","02",19.936,2014-02-23,"PPW1301",19.936,7.619,12.8208125
"36","24","02",21.724,2014-02-24,"PPW1301",21.724,9.854,14.84075
"37","25","02",18.414,2014-02-25,"PPW1301",18.414,5.872,11.018
"38","26","02",11.419,2014-02-26,"PPW1301",11.419,7.945,9.7555625
"39","27","02",13.834,2014-02-27,"PPW1301",13.834,9.262,11.0545625
"40","28","02",12.582,2014-02-28,"PPW1301",12.582,8.469,9.9119375
"41","01","03",16.32,2014-03-01,"PPW1301",16.32,8.668,11.5418958333333
"42","02","03",11.977,2014-03-02,"PPW1301",11.977,9.361,10.5056875
"43","03","03",11.613,2014-03-03,"PPW1301",11.613,9.534,10.2760208333333
"44","04","03",15.318,2014-03-04,"PPW1301",15.318,9.139,11.8505416666667
"45","05","03",15.485,2014-03-05,"PPW1301",15.485,10.932,12.6672916666667
"46","06","03",15.557,2014-03-06,"PPW1301",15.557,7.97,11.2095833333333
"47","07","03",18.271,2014-03-07,"PPW1301",18.271,5.616,11.9270625
"48","08","03",20.936,2014-03-08,"PPW1301",20.936,8.095,14.462125
"49","09","03",21.008,2014-03-09,"PPW1301",21.008,12.001,15.4602916666667
"50","10","03",17.463,2014-03-10,"PPW1301",17.463,8.095,12.417125
"51","11","03",20.722,2014-03-11,"PPW1301",20.722,9.262,14.8247083333333
"52","12","03",20.698,2014-03-12,"PPW1301",20.698,11.929,16.0543125
"53","13","03",24.146,2014-03-13,"PPW1301",24.146,11.005,16.784
"54","14","03",22.106,2014-03-14,"PPW1301",22.106,7.091,14.3906875
"55","15","03",24.968,2014-03-15,"PPW1301",24.968,12.292,18.0652916666667
"56","16","03",24.291,2014-03-16,"PPW1301",24.291,9.163,15.7296875
"57","17","03",19.032,2014-03-17,"PPW1301",19.032,7.995,12.6635
"58","18","03",21.437,2014-03-18,"PPW1301",21.437,10.1,14.3831875
"59","19","03",21.963,2014-03-19,"PPW1301",21.963,10.32,15.321125
"60","20","03",22.321,2014-03-20,"PPW1301",22.321,8.866,14.8859166666667
"61","21","03",19.793,2014-03-21,"PPW1301",19.793,6.128,11.3636458333333
"62","22","03",20.031,2014-03-22,"PPW1301",20.031,4.869,11.7822291666667
"63","23","03",20.627,2014-03-23,"PPW1301",20.627,4.011,12.5919375
"64","24","03",22.824,2014-03-24,"PPW1301",22.824,8.866,15.4122708333333
"65","25","03",12.654,2014-03-25,"PPW1301",12.654,6.077,8.73391666666667
"66","26","03",12.025,2014-03-26,"PPW1301",12.025,6.965,8.96127083333333
"67","27","03",NA,2014-03-27,"PPW1301",NA,NA,NA
"68","28","03",13.305,2014-03-28,"PPW1301",13.305,9.731,11.077125
"69","29","03",11.686,2014-03-29,"PPW1301",11.686,6.636,9.95422916666667
"70","30","03",13.69,2014-03-30,"PPW1301",13.69,4.48,8.16570833333333
"71","31","03",8.767,2014-03-31,"PPW1301",8.767,4.532,6.16775
"72","01","04",8.07,2014-04-01,"PPW1301",8.07,3.775,5.38191666666667
"73","02","04",14.17,2014-04-02,"PPW1301",14.17,4.141,8.16929166666667
"74","03","04",14.649,2014-04-03,"PPW1301",14.649,4.869,8.61566666666667
"75","04","04",11.977,2014-04-04,"PPW1301",11.977,6.56,8.84645833333333
"76","05","04",18.485,2014-04-05,"PPW1301",18.485,5.642,11.3642708333333
"77","06","04",24.146,2014-04-06,"PPW1301",24.146,8.295,16.4353333333333
"78","07","04",27.235,2014-04-07,"PPW1301",27.235,14.098,19.5911666666667
"79","08","04",26.012,2014-04-08,"PPW1301",26.012,14.098,19.120625
"80","09","04",23.232,2014-04-09,"PPW1301",23.232,10.59,15.8900416666667
"81","10","04",25.234,2014-04-10,"PPW1301",25.234,8.742,16.3366458333333
"82","11","04",21.127,2014-04-11,"PPW1301",21.127,8.17,14.146625
"83","12","04",18.461,2014-04-12,"PPW1301",18.461,7.569,10.650125
"84","13","04",23.016,2014-04-13,"PPW1301",23.016,7.995,13.5721041666667
"85","14","04",23.954,2014-04-14,"PPW1301",23.954,8.866,15.7245208333333
"86","15","04",23.328,2014-04-15,"PPW1301",23.328,6.255,14.7648541666667
"87","16","04",25.355,2014-04-16,"PPW1301",25.355,11.589,16.9819166666667
"88","17","04",24.798,2014-04-17,"PPW1301",24.798,10.516,16.2705416666667
