"","date","min","max","mean"
"1",2014-01-01,24.9,67.1,40.6625
"2",2014-01-02,27.4,64.5,43.15
"3",2014-01-03,28.6,69.7,44.8791666666667
"4",2014-01-04,27,68,42.3791666666667
"5",2014-01-05,19.1,67.2,39
"6",2014-01-06,26.8,58,40.275
"7",2014-01-07,32.1,61.8,43.6291666666667
"8",2014-01-08,34.2,60,44.3125
"9",2014-01-09,33.7,63.8,46.6541666666667
"10",2014-01-10,31.1,63.9,44.7375
"11",2014-01-11,36.4,55.5,45.5958333333333
"12",2014-01-12,31.2,61.9,43.8666666666667
"13",2014-01-13,29.5,65.1,44.45
"14",2014-01-14,23.4,68.5,40.9333333333333
"15",2014-01-15,24.9,69.6,42.9833333333333
"16",2014-01-16,22,71.6,42.9666666666667
"17",2014-01-17,22.8,69.9,43.225
"18",2014-01-18,24,71.7,43.45
"19",2014-01-19,23.4,69.4,42.2916666666667
"20",2014-01-20,23.3,70.1,41.2208333333333
"21",2014-01-21,23.3,72.3,42.3791666666667
"22",2014-01-22,25,73.7,44.1375
"23",2014-01-23,25.8,73.3,45.8208333333333
"24",2014-01-24,28.1,70,45.4625
"25",2014-01-25,33.6,74.8,49.6333333333333
"26",2014-01-26,31.2,72.1,47.4875
"27",2014-01-27,37,59.7,47.3416666666667
"28",2014-01-28,45.7,64,54.2333333333333
"29",2014-01-29,50,61,55.2583333333333
"30",2014-01-30,45.4,64.1,52.0291666666667
"31",2014-01-31,28.4,63.9,46.1583333333333
"32",2014-02-01,23.8,59.3,40.1375
"33",2014-02-02,34.8,44.6,41.7375
"34",2014-02-03,29.1,56,41.3666666666667
"35",2014-02-04,28.2,54.8,40.1208333333333
"36",2014-02-05,26,51.7,39.5375
"37",2014-02-06,43.3,50.9,46.875
"38",2014-02-07,47.8,54.2,50.7875
"39",2014-02-08,52.2,57.6,55.1375
"40",2014-02-09,54.3,57.2,56.1875
"41",2014-02-10,49,60.3,53.4791666666667
"42",2014-02-11,41.6,59.9,49.5
"43",2014-02-12,47,57.4,50.8333333333333
"44",2014-02-13,51,65.5,55.5541666666667
"45",2014-02-14,52.9,62.7,56.7083333333333
"46",2014-02-15,52.1,56.8,54.5041666666667
"47",2014-02-16,38,63.8,49.1041666666667
"48",2014-02-17,33.8,61.7,46.7708333333333
"49",2014-02-18,37.4,62.9,49.325
"50",2014-02-19,41.4,64.1,53.8291666666667
"51",2014-02-20,37.9,68.3,49.0541666666667
"52",2014-02-21,34.4,68.5,49.6208333333333
"53",2014-02-22,35,66.9,49.2375
"54",2014-02-23,38.7,66.2,49.0041666666667
"55",2014-02-24,33.3,71.6,49.9958333333333
"56",2014-02-25,38.6,61.1,48.425
"57",2014-02-26,49.1,56,53.025
"58",2014-02-27,52.8,60.3,55.9833333333333
"59",2014-02-28,50.3,57.4,53.5875
"60",2014-03-01,52.3,64.1,57.3458333333333
"61",2014-03-02,48.9,58.3,53.1375
"62",2014-03-03,50.7,57.2,53.7375
"63",2014-03-04,51.5,62.3,56.1708333333333
"64",2014-03-05,54.6,62.7,57.3875
"65",2014-03-06,47.8,62.3,54.3375
"66",2014-03-07,39.9,67.5,51.5375
"67",2014-03-08,40.8,69.9,53.9166666666667
"68",2014-03-09,50.9,67.9,57.9375
"69",2014-03-10,48.4,67.4,57.175
"70",2014-03-11,42.1,71.4,58.6125
"71",2014-03-12,42,72.2,60.6083333333333
"72",2014-03-13,38,72.7,52.75
"73",2014-03-14,39.3,70.8,52.7083333333333
"74",2014-03-15,38.2,75.2,54.3333333333333
"75",2014-03-16,35.9,71.6,51.1583333333333
"76",2014-03-17,41.1,68.7,53.0166666666667
"77",2014-03-18,34.6,69.4,50.025
"78",2014-03-19,32.7,71.6,50.5791666666667
"79",2014-03-20,38.6,69.6,50.8958333333333
"80",2014-03-21,38.4,63,48.3541666666667
"81",2014-03-22,34.1,64.2,47.7291666666667
"82",2014-03-23,38.8,68.7,51.0083333333333
"83",2014-03-24,34.8,72,48.85
"84",2014-03-25,33.6,59.5,45.9333333333333
