"","Plot","Basal.Area"
"1","PPW1301",10822.3939925351
"2","PPW1302",23728.0987893634
"3","PPW1303",4302.12054177077
"4","PPW1304",9445.09621125647
"5","PPW1305",15257.709973217
"6","PPW1306",7210.8151509775
"7","PPW1307",10998.1431678771
"8","PPW1308",8353.02951748345
"9","PPW1309",7874.3057749478
"10","PPW1310",5881.91360452738
"11","PPW1311",11952.389527114
"12","PPW1312",24237.0460669433
"13","PPW1313",11212.0087371064
"14","PPW1314",10207.6314341174
"15","PPW1315",9182.5308508085
"16","PPW1316",19309.921845943
"17","PPW1317",13883.1444350692
"18","PPW1318",15741.5940173056
"19","PPW1319",6632.63895228495
"20","PPW1320",20734.0200900618
"21","PPW1321",8459.68533143576
"22","PPW1322",11459.4250236195
"23","PPW1323",9176.22072634431
"24","PPW1324",9454.80569605147
"25","PPW1325",11958.8042666136
"26","PPW1326",19061.31238254
"27","PPW1327",19682.0870068189
"28","PPW1328",26447.9149577501
"29","PPW1329",23681.2704448884
"30","PPW1330",11458.7994539823
"31","PPW1331",13010.8601075894
"32","PPW1332",16357.5120535014
"33","PPW1333",13785.0534666285
"34","PPW1334",16221.4845473528
"35","PPW1335",14177.3989620741
"36","PPW1336",13711.0980193685
"37","PPW1337",29088.0643419724
"38","PPW1338",13129.8132932851
"39","PPW1339",16005.3041741166
"40","PPW1340",15217.3120762049
"41","PPW1341",16493.8977012124
"42","PPW1342",37930.7849019451
"43","PPW1343",22174.8697774485
"44","PPW1344",9025.95866388238
"45","PPW1345",12990.644194483
"46","PPW1346",10480.6173003177
"47","PPW1347",11587.5272339808
"48","PPW1348",11554.393877281
"49","PPW1349",11182.8387351585
"50","PPW1350",17476.6451387814
