"","date","max","mean","min"
"1",2014-01-01,19.3,4.3,-4.4
"2",2014-01-02,18.4,5.6,-2.4
"3",2014-01-03,20.1,6.6,-2.2
"4",2014-01-04,22.9,6.6,-2.9
"5",2014-01-05,18.7,4.3,-3.8
"6",2014-01-06,17.8,4.6,-2.9
"7",2014-01-07,17.3,5.6,-1.6
"8",2014-01-08,16.2,5.3,-2.1
"9",2014-01-09,17.7,7.9,2.3
"10",2014-01-10,17.8,6.2,-1.5
"11",2014-01-11,12.7,6.4,1.7
"12",2014-01-12,16.1,6.4,-1
"13",2014-01-13,19.4,6.5,-0.7
"14",2014-01-14,21.3,5.6,-3.4
"15",2014-01-15,20.9,5.5,-2.8
"16",2014-01-16,22.2,5.1,-3.9
"17",2014-01-17,21.6,5.4,-5
"18",2014-01-18,22.4,5.4,-4.3
"19",2014-01-19,21.1,4.6,-5.6
"20",2014-01-20,21.4,6.5,-4.8
"21",2014-01-21,23.6,5.4,-5.3
"22",2014-01-22,23.9,6.4,-4.2
"23",2014-01-23,23,10.1,-2.6
"24",2014-01-24,21.6,8.1,0.1
"25",2014-01-25,24.9,10.1,-0.4
"26",2014-01-26,23.1,7.6,-0.2
"27",2014-01-27,17.4,7.9,-0.8
"28",2014-01-28,20,13.1,8.1
"29",2014-01-29,15.8,12.6,9.3
"30",2014-01-30,17.8,11.6,6.8
"31",2014-01-31,16.9,8.5,-0.9
"32",2014-02-01,16.1,4.7,-3.7
"33",2014-02-02,7.6,5.3,-1.2
"34",2014-02-03,13.7,4.2,-2.9
"35",2014-02-04,12.9,4,-2.5
"36",2014-02-05,11.4,3.9,-4.3
"37",2014-02-06,10.9,8.3,5.9
"38",2014-02-07,12,10.2,8.6
"39",2014-02-08,13.8,12.6,11.1
"40",2014-02-09,14.4,13.4,12.6
"41",2014-02-10,18.7,13,7.7
"42",2014-02-11,18.3,9.8,3.3
"43",2014-02-12,15.7,11.3,8.4
"44",2014-02-13,20.5,14.9,11.1
"45",2014-02-14,20.1,14.9,12.4
"46",2014-02-15,14.2,12.7,11.1
"47",2014-02-16,19.3,9.5,3.2
"48",2014-02-17,18.2,7.9,-0.2
"49",2014-02-18,18.9,9.6,3.2
"50",2014-02-19,18.7,11.2,5.4
"51",2014-02-20,23.2,10.2,2.6
"52",2014-02-21,24,10.5,0.9
"53",2014-02-22,23.4,10.8,1.3
"54",2014-02-23,23.7,10.4,2.3
"55",2014-02-24,24.9,11,1.2
"56",2014-02-25,19.3,9.9,1.9
"57",2014-02-26,13.2,11.4,8.6
"58",2014-02-27,17.3,13,10.8
"59",2014-02-28,15.1,12.2,9.9
"60",2014-03-01,18.4,14.3,10.9
"61",2014-03-02,15.9,12.1,9.6
"62",2014-03-03,13.9,12.1,11.1
"63",2014-03-04,18.9,14.1,10.8
"64",2014-03-05,18.2,14.5,12.9
"65",2014-03-06,19.3,12.7,6.4
"66",2014-03-07,23.6,11.4,3.7
"67",2014-03-08,24,13,3
"68",2014-03-09,21.3,15.3,11.3
"69",2014-03-10,20.6,14.2,7
"70",2014-03-11,22.6,14.6,5.1
"71",2014-03-12,24.3,17.6,6.8
"72",2014-03-13,28,12.8,0.7
"73",2014-03-14,27.2,12.8,2.3
"74",2014-03-15,29.2,15,4.4
"75",2014-03-16,27.6,13.4,2
"76",2014-03-17,22.6,14.4,6.8
"77",2014-03-18,25.2,12.1,2
"78",2014-03-19,26.5,11.5,-0.2
"79",2014-03-20,26.4,12.6,3.6
"80",2014-03-21,23.6,10.9,3
"81",2014-03-22,24.2,10.9,0.7
"82",2014-03-23,25.6,12.6,3.8
"83",2014-03-24,27.9,12.8,1.6
"84",2014-03-25,16.4,7.8,0.8
"85",2014-03-26,17.4,11.1,7
"86",2014-03-27,15.8,11.5,7.8
"87",2014-03-28,17.7,13.4,11
"88",2014-03-29,15,12.2,6.3
"89",2014-03-30,18.6,9.5,2.7
"90",2014-03-31,10.7,6.9,2.8
"91",2014-04-01,10.9,7.3,4.9
"92",2014-04-02,19.3,10.5,5.3
"93",2014-04-03,19.1,10.4,3.7
"94",2014-04-04,17.6,11.1,8.2
"95",2014-04-05,22.7,12.6,2.8
"96",2014-04-06,29.2,15.9,5.4
"97",2014-04-07,31.7,17.9,7.3
"98",2014-04-08,30.4,17.7,7.6
"99",2014-04-09,26.4,15,6.8
"100",2014-04-10,29.4,16.1,8.1
"101",2014-04-11,24.5,13.8,8.5
"102",2014-04-12,22.1,13.4,10
"103",2014-04-13,27.7,15.7,9.3
"104",2014-04-14,27.4,14.3,5.8
"105",2014-04-15,27.8,15.9,8.6
"106",2014-04-16,29.8,17.2,5.9
"107",2014-04-17,28.6,16.9,6.9
"108",2014-04-18,26.5,16.9,6.9
"109",2014-04-19,25.1,14.1,4.6
"110",2014-04-20,30.1,16.9,6.2
"111",2014-04-21,24.1,13.3,4.9
"112",2014-04-22,19.3,13.4,8.1
"113",2014-04-23,22.8,12.2,2.6
"114",2014-04-24,21.8,15.8,7.8
"115",2014-04-25,16.1,11.3,6.2
"116",2014-04-26,18.4,9.9,2.3
"117",2014-04-27,21.2,13.5,8.8
"118",2014-04-28,27.4,14.9,4.3
