plot,is.superplot,weather.node,regionid,our.region,pwd.region,Meagan.Region 
PPW1301,YES,YES,1,Double Ponds,Oregon oak hills,Double Ponds
PPW1302,,YES,8,Telegraph Hill,Turtle Pond,Rogers Canyon
PPW1303,,,8,Telegraph Hill,Telegraph Hill,Telegraph Hill
PPW1304,,,8,Telegraph Hill,Telegraph Hill,Telegraph Hill
PPW1305,,,8,Telegraph Hill,Telegraph Hill,Telegraph Hill
PPW1306,,,1,Double Ponds,Weimar West,Double Ponds
PPW1307,YES,,1,Double Ponds,Badger Meadow,Double Ponds
PPW1308,,,4,Lower Martin Creek,Blue Oak Ridge,Lower Martin Creek
PPW1309,YES,YES,4,Lower Martin Creek,Blue Oak Ridge,Lower Martin Creek
PPW1310,YES,,4,Lower Martin Creek,Blue Oak Ridge,Lower Martin Creek
PPW1311,,,4,Lower Martin Creek,Blue Oak Ridge,Lower Martin Creek
PPW1312,YES,,4,Lower Martin Creek,Lower Madrone Ridge,Lower Martin Creek
PPW1313,,,4,Lower Martin Creek,Lower Madrone Ridge,Lower Martin Creek
PPW1314,,,4,Lower Martin Creek,Martin Creek Middle,Middle Martin Creek
PPW1315,YES,,9,Upper Martin Creek,Strebel Homestead,Strebel Homestead
PPW1316,,,9,Upper Martin Creek,Strebel Homestead,Strebel Homestead
PPW1317,,,9,Upper Martin Creek,Strebel Homestead,Strebel Homestead
PPW1318,,,9,Upper Martin Creek,Strebel Homestead,Strebel Homestead
PPW1319,,,9,Upper Martin Creek,Strebel Homestead,Strebel Homestead
PPW1320,,,6,Rogers Canyon,Horse Hill,Rogers Canyon
PPW1321,YES,YES,6,Rogers Canyon,Horse Hill,Rogers Canyon
PPW1322,YES,YES,6,Rogers Canyon,Rogers Canyon,Rogers Canyon
PPW1323,,,4,Lower Martin Creek,Martin Creek Middle,Middle Martin Creek
PPW1324,YES,YES,5,Pitts Canyon,Upper Madrone Ridge,Pitts Canyon
PPW1325,YES,,1,Double Ponds,Weimar East,Double Ponds
PPW1326,,,9,Upper Martin Creek,Martin Creek Upper,Upper Martin Creek
PPW1327,,,2,Garrison Canyon,Garrison Canyon,Garrison Canyon
PPW1328,,,6,Rogers Canyon,Rogers Canyon,Rogers Canyon
PPW1329,,,5,Pitts Canyon,Pitts Canyon,Pitts Canyon
PPW1330,,,5,Pitts Canyon,Pitts Canyon,Pitts Canyon
PPW1331,,,5,Pitts Canyon,Upper Madrone Ridge,Pitts Canyon
PPW1332,,,9,Upper Martin Creek,Martin Creek Upper,Upper Martin Creek
PPW1333,,,9,Upper Martin Creek,Martin Creek Upper,Upper Martin Creek
PPW1334,YES,,9,Upper Martin Creek,Martin Creek Upper,Upper Martin Creek
PPW1335,YES,YES,9,Upper Martin Creek,Martin Creek Upper,Upper Martin Creek
PPW1336,,,9,Upper Martin Creek,Martin Creek Upper,Upper Martin Creek
PPW1337,,,1,Double Ponds,Weimar West,Double Ponds
PPW1338,YES,,6,Rogers Canyon,Rogers Canyon,Rogers Canyon
PPW1339,YES,,6,Rogers Canyon,Rogers Canyon,Rogers Canyon
PPW1340,YES,YES,3,Grouse Hill,Grouse Hill,Grouse Hill
PPW1341,,,3,Grouse Hill,Grouse Hill,Grouse Hill
PPW1342,,,3,Grouse Hill,Grouse Hill,Grouse Hill
PPW1343,,,4,Lower Martin Creek,Blue Oak Ridge,Lower Martin Creek
PPW1344,YES,,4,Lower Martin Creek,Blue Oak Ridge,Lower Martin Creek
PPW1345,,,4,Lower Martin Creek,Upper Madrone Ridge,Middle Martin Creek
PPW1346,,,7,Shriver Canyon,Shriver Canyon,Upper Martin Creek
PPW1347,,,2,Garrison Canyon,Garrison Canyon,Garrison Canyon
PPW1348,,,2,Garrison Canyon,Garrison Canyon,Garrison Canyon
PPW1349,YES,,1,Double Ponds,Redwood Canyon,Double Ponds
PPW1350,,,2,Garrison Canyon,Garrison Canyon,Garrison Canyon
